price,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,availability_30,host_is_superhost,host_since,number_of_reviews,review_scores_rating,amenities,host_experience_years,amenities_list,amenities_count
105.0,Prenzlauer Berg Südwest,Pankow,52.53471,13.4181,Entire home/apt,0,f,2008-10-19,149,4.63,"[""Bathtub"", ""Dishes and silverware"", ""Bed linens"", ""Private hot tub"", ""Long term stays allowed"", ""Outdoor dining area"", ""Books and reading material"", ""Hangers"", ""TV"", ""Wifi"", ""High chair"", ""Refrigerator"", ""Coffee"", ""Children\u2019s dinnerware"", ""Cleaning products"", ""Freezer"", ""Cooking basics"", ""Fire extinguisher"", ""First aid kit"", ""Essentials"", ""Clothing storage"", ""Coffee maker"", ""Hair dryer"", ""Extra pillows and blankets"", ""Heating"", ""Carbon monoxide alarm"", ""Hot water kettle"", ""Kitchen"", ""Outdoor furniture"", ""Iron"", ""Wine glasses"", ""Washer"", ""Stove"", ""Hot water"", ""Smoke alarm"", ""Baking sheet"", ""Host greets you"", ""Crib"", ""Board games"", ""Ethernet connection"", ""Oven"", ""Toaster"", ""Dining table"", ""Patio or balcony""]",16.726027397260275,"['bathtub', 'dishes and silverware', 'bed linens', 'private hot tub', 'long term stays allowed', 'outdoor dining area', 'books and reading material', 'hangers', 'tv', 'wifi', 'high chair', 'refrigerator', 'coffee', 'children\\u2019s dinnerware', 'cleaning products', 'freezer', 'cooking basics', 'fire extinguisher', 'first aid kit', 'essentials', 'clothing storage', 'coffee maker', 'hair dryer', 'extra pillows and blankets', 'heating', 'carbon monoxide alarm', 'hot water kettle', 'kitchen', 'outdoor furniture', 'iron', 'wine glasses', 'washer', 'stove', 'hot water', 'smoke alarm', 'baking sheet', 'host greets you', 'crib', 'board games', 'ethernet connection', 'oven', 'toaster', 'dining table', 'patio or balcony']",44
135.0,Prenzlauer Berg Südwest,Pankow,52.53269,13.41805,Entire home/apt,0,f,2009-08-25,7,5.0,"[""Bathtub"", ""Dryer"", ""Dishes and silverware"", ""Bed linens"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""High chair"", ""Dishwasher"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Hair dryer"", ""Heating"", ""Babysitter recommendations"", ""Elevator"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Paid parking off premises"", ""Washer"", ""Stove"", ""Smoke alarm"", ""Hot water"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Crib"", ""Oven"", ""TV with standard cable"", ""Microwave""]",15.876712328767123,"['bathtub', 'dryer', 'dishes and silverware', 'bed linens', 'luggage dropoff allowed', 'refrigerator', 'hangers', 'wifi', 'high chair', 'dishwasher', 'children\\u2019s dinnerware', 'cooking basics', 'essentials', 'coffee maker', 'hair dryer', 'heating', 'babysitter recommendations', 'elevator', 'kitchen', 'pack \\u2019n play/travel crib', 'iron', 'paid parking off premises', 'washer', 'stove', 'smoke alarm', 'hot water', 'room-darkening shades', 'children\\u2019s books and toys', 'crib', 'oven', 'tv with standard cable', 'microwave']",32
75.0,Prenzlauer Berg Nordwest,Pankow,52.54813,13.40366,Entire home/apt,0,t,2009-11-18,26,4.68,"[""Heating"", ""Host greets you"", ""Smoke alarm"", ""Coffee maker"", ""Dishes and silverware"", ""Kitchen"", ""Private entrance"", ""Ethernet connection"", ""Refrigerator"", ""TV"", ""Hangers"", ""Washer"", ""Wifi"", ""Hot water""]",15.643835616438356,"['heating', 'host greets you', 'smoke alarm', 'coffee maker', 'dishes and silverware', 'kitchen', 'private entrance', 'ethernet connection', 'refrigerator', 'tv', 'hangers', 'washer', 'wifi', 'hot water']",14
77.0,nördliche Luisenstadt,Friedrichshain-Kreuzberg,52.50312,13.43508,Entire home/apt,0,f,2009-12-20,48,4.72,"[""Heating"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Carbon monoxide alarm"", ""High chair"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""First aid kit"", ""Essentials"", ""Hangers"", ""Washer"", ""Wifi"", ""TV"", ""Shampoo"", ""Hair dryer"", ""Smoke alarm""]",15.556164383561644,"['heating', 'room-darkening shades', 'children\\u2019s books and toys', 'carbon monoxide alarm', 'high chair', 'kitchen', 'pack \\u2019n play/travel crib', 'iron', 'first aid kit', 'essentials', 'hangers', 'washer', 'wifi', 'tv', 'shampoo', 'hair dryer', 'smoke alarm']",17
40.0,Reuterstraße,Neukölln,52.49419,13.42166,Entire home/apt,0,f,2010-01-08,299,4.77,"[""Dishes and silverware"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Refrigerator"", ""Hangers"", ""TV"", ""Wifi"", ""Shampoo"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Hair dryer"", ""Heating"", ""Self check-in"", ""Building staff"", ""Kitchen"", ""Iron"", ""Free street parking"", ""Hot water""]",15.504109589041096,"['dishes and silverware', 'luggage dropoff allowed', 'long term stays allowed', 'refrigerator', 'hangers', 'tv', 'wifi', 'shampoo', 'cooking basics', 'essentials', 'coffee maker', 'hair dryer', 'heating', 'self check-in', 'building staff', 'kitchen', 'iron', 'free street parking', 'hot water']",19
60.0,nördliche Luisenstadt,Friedrichshain-Kreuzberg,52.5046,13.43374,Entire home/apt,0,f,2009-12-20,60,4.74,"[""Bathtub"", ""Dryer"", ""Drying rack for clothing"", ""Portable fans"", ""Dishes and silverware"", ""Bed linens"", ""Cleaning available during stay"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Books and reading material"", ""Hangers"", ""TV"", ""Refrigerator"", ""Dishwasher"", ""Cleaning products"", ""Freezer"", ""Cooking basics"", ""First aid kit"", ""Essentials"", ""Hair dryer"", ""Extra pillows and blankets"", ""Heating"", ""Hot water kettle"", ""Dedicated workspace"", ""Kitchen"", ""Single level home"", ""Iron"", ""Coffee maker: Keurig coffee machine"", ""Free washer"", ""Wine glasses"", ""Free street parking"", ""Stove"", ""Smoke alarm"", ""Hot water"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Baking sheet"", ""Dining table"", ""Toaster"", ""Microwave""]",15.556164383561644,"['bathtub', 'dryer', 'drying rack for clothing', 'portable fans', 'dishes and silverware', 'bed linens', 'cleaning available during stay', 'laundromat nearby', 'luggage dropoff allowed', 'long term stays allowed', 'books and reading material', 'hangers', 'tv', 'refrigerator', 'dishwasher', 'cleaning products', 'freezer', 'cooking basics', 'first aid kit', 'essentials', 'hair dryer', 'extra pillows and blankets', 'heating', 'hot water kettle', 'dedicated workspace', 'kitchen', 'single level home', 'iron', 'coffee maker: keurig coffee machine', 'free washer', 'wine glasses', 'free street parking', 'stove', 'smoke alarm', 'hot water', 'room-darkening shades', 'children\\u2019s books and toys', 'baking sheet', 'dining table', 'toaster', 'microwave']",41
143.0,Brunnenstr. Süd,Mitte,52.53355,13.40476,Entire home/apt,14,t,2010-03-02,559,4.81,"[""Bathtub"", ""Safe"", ""Portable fans"", ""Dishes and silverware"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""TV"", ""Hangers"", ""Refrigerator"", ""Wifi"", ""High chair"", ""Dishwasher"", ""Children\u2019s dinnerware"", ""Cleaning products"", ""Freezer"", ""Pets allowed"", ""Hammock"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Outdoor playground"", ""Hair dryer"", ""Heating"", ""Babysitter recommendations"", ""Hot water kettle"", ""Clothing storage: closet"", ""Dedicated workspace"", ""Kitchen"", ""Outdoor furniture"", ""Single level home"", ""Iron"", ""Wine glasses"", ""Mosquito net"", ""Backyard"", ""Stove"", ""Hot water"", ""Smoke alarm"", ""Children\u2019s books and toys"", ""Crib"", ""Oven"", ""Toaster"", ""Dining table"", ""Free washer \u2013 In unit"", ""Microwave""]",15.35890410958904,"['bathtub', 'safe', 'portable fans', 'dishes and silverware', 'laundromat nearby', 'luggage dropoff allowed', 'tv', 'hangers', 'refrigerator', 'wifi', 'high chair', 'dishwasher', 'children\\u2019s dinnerware', 'cleaning products', 'freezer', 'pets allowed', 'hammock', 'cooking basics', 'essentials', 'coffee maker', 'outdoor playground', 'hair dryer', 'heating', 'babysitter recommendations', 'hot water kettle', 'clothing storage: closet', 'dedicated workspace', 'kitchen', 'outdoor furniture', 'single level home', 'iron', 'wine glasses', 'mosquito net', 'backyard', 'stove', 'hot water', 'smoke alarm', 'children\\u2019s books and toys', 'crib', 'oven', 'toaster', 'dining table', 'free washer \\u2013 in unit', 'microwave']",44
70.0,Prenzlauer Berg Nordwest,Pankow,52.54804,13.40349,Entire home/apt,0,t,2009-11-18,34,4.66,"[""Heating"", ""Host greets you"", ""Smoke alarm"", ""Coffee maker"", ""Dishes and silverware"", ""Kitchen"", ""Private entrance"", ""Ethernet connection"", ""Refrigerator"", ""TV"", ""Hangers"", ""Washer"", ""Wifi"", ""Hot water""]",15.643835616438356,"['heating', 'host greets you', 'smoke alarm', 'coffee maker', 'dishes and silverware', 'kitchen', 'private entrance', 'ethernet connection', 'refrigerator', 'tv', 'hangers', 'washer', 'wifi', 'hot water']",14
107.0,Helmholtzplatz,Pankow,52.54596,13.42291,Entire home/apt,6,t,2011-04-05,481,4.8,"[""Dryer"", ""Dishes and silverware"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""High chair"", ""Shampoo"", ""Dishwasher"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Hair dryer"", ""Smart lock"", ""Heating"", ""Elevator"", ""Self check-in"", ""Dedicated workspace"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Backyard"", ""Washer"", ""Smoke alarm"", ""Hot water"", ""Room-darkening shades"", ""Free parking on premises"", ""Crib"", ""Private entrance"", ""Oven"", ""TV with standard cable"", ""Microwave""]",14.265753424657534,"['dryer', 'dishes and silverware', 'refrigerator', 'hangers', 'wifi', 'high chair', 'shampoo', 'dishwasher', 'cooking basics', 'essentials', 'coffee maker', 'hair dryer', 'smart lock', 'heating', 'elevator', 'self check-in', 'dedicated workspace', 'kitchen', 'pack \\u2019n play/travel crib', 'iron', 'backyard', 'washer', 'smoke alarm', 'hot water', 'room-darkening shades', 'free parking on premises', 'crib', 'private entrance', 'oven', 'tv with standard cable', 'microwave']",31
60.0,Düsseldorfer Straße,Charlottenburg-Wilm.,52.49546,13.30858,Entire home/apt,0,t,2010-06-15,3,5.0,"[""Bathtub"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Garden view"", ""Bed linens"", ""Outdoor dining area"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""Ceiling fan"", ""Electric stove"", ""Private backyard \u2013 Fully fenced"", ""Cooking basics"", ""Coffee maker: pour-over coffee"", ""Extra pillows and blankets"", ""Heating"", ""Hot water kettle"", ""Dedicated workspace"", ""Kitchen"", ""Outdoor furniture"", ""Wine glasses"", ""Free street parking"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Hot water"", ""Room-darkening shades"", ""Baking sheet"", ""Oven"", ""Dining table"", ""Private patio or balcony"", ""TV with standard cable""]",15.07123287671233,"['bathtub', 'drying rack for clothing', 'dishes and silverware', 'garden view', 'bed linens', 'outdoor dining area', 'refrigerator', 'hangers', 'wifi', 'ceiling fan', 'electric stove', 'private backyard \\u2013 fully fenced', 'cooking basics', 'coffee maker: pour-over coffee', 'extra pillows and blankets', 'heating', 'hot water kettle', 'dedicated workspace', 'kitchen', 'outdoor furniture', 'wine glasses', 'free street parking', 'free washer \\u2013 in building', 'smoke alarm', 'hot water', 'room-darkening shades', 'baking sheet', 'oven', 'dining table', 'private patio or balcony', 'tv with standard cable']",31
